"page","2013-04-01 pi","2013-04-01 pv","2013-05-01 pi","2013-05-01 pv","2013-06-01 pi","2013-06-01 pv","2013-07-01 pi","2013-07-01 pv","2013-08-01 pi","2013-08-01 pv","2013-09-01 pi","2013-09-01 pv","2013-10-01 pi","2013-10-01 pv","2013-11-01 pi","2013-11-01 pv","2013-12-01 pi","2013-12-01 pv","2014-01-01 pi","2014-01-01 pv","2014-02-01 pi","2014-02-01 pv","2014-03-01 pi","2014-03-01 pv","2014-04-01 pi","2014-04-01 pv","2014-05-01 pi","2014-05-01 pv","2014-06-01 pi","2014-06-01 pv","2014-07-01 pi","2014-07-01 pv","2014-08-01 pi","2014-08-01 pv","2014-09-01 pi","2014-09-01 pv","2014-10-01 pi","2014-10-01 pv","2014-11-01 pi","2014-11-01 pv","2014-12-01 pi","2014-12-01 pv","2015-01-01 pi","2015-01-01 pv","2015-02-01 pi","2015-02-01 pv","2015-03-01 pi","2015-03-01 pv","2015-04-01 pi","2015-04-01 pv","2015-05-01 pi","2015-05-01 pv","2015-06-01 pi","2015-06-01 pv","2015-07-01 pi","2015-07-01 pv","2015-08-01 pi","2015-08-01 pv","2015-09-01 pi","2015-09-01 pv","2015-10-01 pi","2015-10-01 pv","2015-11-01 pi","2015-11-01 pv","2015-12-01 pi","2015-12-01 pv","2016-01-01 pi","2016-01-01 pv","2016-02-01 pi","2016-02-01 pv","2016-03-01 pi","2016-03-01 pv","2016-04-01 pi","2016-04-01 pv","2016-05-01 pi","2016-05-01 pv","2016-06-01 pi","2016-06-01 pv","2016-07-01 pi","2016-07-01 pv","2016-08-01 pi","2016-08-01 pv","2016-09-01 pi","2016-09-01 pv","2016-10-01 pi","2016-10-01 pv","2016-11-01 pi","2016-11-01 pv","2016-12-01 pi","2016-12-01 pv","2017-01-01 pi","2017-01-01 pv","2017-02-01 pi","2017-02-01 pv","2017-03-01 pi","2017-03-01 pv","2017-04-01 pi","2017-04-01 pv","2017-05-01 pi","2017-05-01 pv","2017-06-01 pi","2017-06-01 pv","2017-07-01 pi","2017-07-01 pv","2017-08-01 pi","2017-08-01 pv","2017-09-01 pi","2017-09-01 pv","2017-10-01 pi","2017-10-01 pv","2017-11-01 pi","2017-11-01 pv","2017-12-01 pi","2017-12-01 pv","2018-01-01 pi","2018-01-01 pv","2018-02-01 pi","2018-02-01 pv","2018-03-01 pi","2018-03-01 pv","2018-04-01 pi","2018-04-01 pv","2018-05-01 pi","2018-05-01 pv","2018-06-01 pi","2018-06-01 pv"
"lebensweltlich-orientierte-räume-planungsräume-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","17","15","17","14","4","4","","","22","16"
"brandenburger-weihnachtsmärkte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","10","13","11","9","9","2","2","4","4","2","2","","","1","1","5","3","","","","","","","6","5","8","6","5","4","7","6","1","1","16","16","30","29","24","24","13","13","15","15","10","10","15","15","20","20","22","22","21","21","30","22","8","8","13","13","11","11","10","8","22","20"
"alkis-berlin-flur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","3","6","6","2","2","3","3","21","14"
"bezirke-wfs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6","9","9","16","12","12","11","14","12","21","17"
"liste-der-verbannten-bücher","","","","","23","20","810","662","67","57","42","40","38","31","35","31","13","11","28","23","17","15","78","73","205","158","107","89","73","60","166","133","38","32","34","31","134","85","110","88","66","51","83","71","74","64","95","81","148","124","95","79","68","57","78","65","64","55","49","41","37","32","39","34","47","46","55","44","39","34","49","43","52","37","30","25","40","33","46","39","24","18","26","21","24","19","48","33","24","20","30","27","18","17","24","20","44","22","25","19","29","23","24","20","20","17","22","14","27","18","13","12","13","12","29","20","30","18","20","18","30","19","24","20","21","19"
"verkehr-und-personenaufkommen-am-ernst-reuter-platz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","24","65","54","69","61","21","18"
"umsatz-und-beschäftigte-des-einzelhandels-berlin-und-brandenburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","16","16","2","2","20","19"
"grundwassermessstellen-wms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","3","3","2","2","1","1","2","1","3","3","2","2","1","1","","","5","5","3","3","7","7","6","6","14","8","15","13","15","12","27","23","33","24","16","15","20","16","9","8","17","15","31","30","19","18","6","4","","","","","20","20"
"verbraucherpreisindex-im-land-berlin-und-brandenburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","18","13","19","15","10","10","19","16","20","17"
"einwohnerinnen-und-einwohner-nach-wohnlagen-den-lor-planungsräumen-am-31122015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","26","47","43","59","50","26","25","13","12","24","20","27","24","30","20","61","40","15","14","21","20","25","21","22","18","28","25","21","17","32","29","30","27","19","19","28","27","20","20","33","30","21","21","26","24","28","25","41","38","31","25","24","23","19","18"
"kfz-kennzeichen-deutschland","26","22","50","38","43","39","25","22","29","24","21","18","28","26","26","20","11","11","19","17","22","20","30","22","16","14","33","26","24","21","78","65","75","68","21","19","17","17","44","41","17","15","12","12","17","16","14","12","19","15","16","15","14","14","19","15","10","9","7","6","5","5","5","4","5","5","8","7","10","10","80","73","21","21","48","40","50","45","31","28","23","22","18","15","26","26","9","9","6","6","10","7","6","5","10","10","7","7","4","3","15","14","12","12","20","19","8","8","18","17","26","25","9","9","14","14","10","9","23","18","22","21","14","14","19","17"
"liste-der-badestellen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","16","35","26","3","3","5","4","5","4","2","2","11","11","139","108","79","62","70","42","19","13","12","12","16","9","38","32","5","4","15","12","4","3","17","11","11","8","5","5","59","48","79","73","84","73","80","50","19","17","8","8","2","2","21","17","5","4","25","16","36","30","34","27","18","11"
"los82019-berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","17"
"digitale-topographische-karte-1-10-000-dtk10-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","2","2","1","1","7","6","5","5","4","4","3","3","8","5","7","6","5","5","7","7","2","2","4","4","7","6","8","6","1","1","","","","","","","1","1","3","3","2","2","5","4","1","1","3","3","10","10","4","4","18","18"
"einwohnerinnen-und-einwohner-berlin-lor-planungsräumen-am-31122015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","32","67","60","66","55","50","39","42","37","54","41","59","47","32","28","43","41","24","22","36","31","50","38","34","33","60","54","41","39","39","34","44","39","55","43","49","45","42","38","54","47","43","39","57","54","56","41","44","37","10","10","11","10","18","17"
"karte-von-berlin-15000-k5-farbausgabe-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","9","8","4","4","10","10","10","10","6","5","3","2","2","2","","","","","","","7","6","14","10","9","9","2","2","","","4","4","","","","","1","1","","","","","","","1","1","5","5","7","7","1","1","2","1","18","9"
"vbb-fahrplan2012","217","180","154","139","113","95","105","87","89","78","82","76","119","106","57","49","38","36","52","46","45","44","26","25","51","37","39","34","45","35","42","36","24","23","40","32","41","31","28","24","26","22","28","24","32","28","20","17","19","18","27","24","32","29","24","19","19","18","29","29","27","23","33","27","19","15","12","10","20","18","11","11","7","6","24","20","13","13","19","13","10","10","5","5","15","15","16","16","8","8","12","12","9","8","9","8","7","7","10","9","12","12","19","14","14","10","10","10","16","15","13","12","11","11","15","15","26","25","20","20","26","26","43","42","18","18"
"einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-30062017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","","","","","","","","","73","58","18","15"
"www.statistik-berlin-brandenburg.de","","","","","18","14","46","36","30","26","393","328","86","65","72","48","18","18","42","32","73","44","40","27","60","42","99","68","83","62","48","34","33","22","41","31","51","30","59","45","38","20","57","49","98","75","71","51","51","38","59","41","70","48","62","42","54","40","49","34","53","45","54","42","47","33","52","45","64","39","40","32","42","26","31","23","28","16","28","20","31","22","87","76","15","12","12","11","34","13","26","17","18","18","23","17","39","29","52","38","41","30","30","22","23","19","164","145","58","34","30","22","20","16","23","18","18","15","13","10","14","10","10","9","18","14"
"flurstücke-im-inspire-datenmodell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","18","17"
"alkis-berlin-rechtliche-festlegungen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","1","1","17","13"
"hauskoordinaten-als-teildatenbestand-adressen-berlin-atom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","8","8","2","2","10","7","17","11"
"wochen-und-trödelmärkte-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","37","59","44","47","32","83","51","24","20","47","39","34","27","43","31","16","14"
"einschulbereiche-geometrien-berlin-2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","51","24","21","22","18","19","18","16","15"
"alkis-berlin-gemeinde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","6","6","6","6","20","18","23","20","16","16"
"grundschuleinzugsbereiche-geometrien-berlin-2012-mit-demographischen-merkmalen","","","","","","","68","47","56","47","62","52","72","50","46","37","16","15","46","35","56","46","26","25","43","34","63","38","72","61","45","37","60","44","81","65","46","37","22","19","17","16","41","32","45","29","31","29","19","18","27","21","30","24","28","23","25","19","38","32","28","26","15","11","33","23","21","18","35","23","23","19","14","13","36","32","46","32","57","40","30","24","30","24","11","9","14","12","11","9","24","22","12","11","8","7","25","24","33","30","15","14","4","4","9","8","17","14","13","12","11","10","10","10","35","13","14","14","17","14","9","9","10","10","16","13"
"lebensweltlich-orientierte-räume-lor-bezirksregionen-wms-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","2"
